id,event_id,minute,second,team_id,team_name,player_id,x,y,end_x,end_y,is_touch,is_shot,is_goal,type,outcome,period,name,shirt_no,position
2744759365,483,45,31,36,Leverkusen,280663,3.5,75.4,9.1,92.2,True,False,False,Pass,Successful,FirstHalf,Aleix García,24,MC
2744759371,484,45,33,36,Leverkusen,107252,9.3,94.9,12.9,95.2,True,False,False,Pass,Unsuccessful,FirstHalf,Álex Grimaldo,20,DML
2744759373,388,45,33,26,Liverpool,318871,85.1,3.5,,,True,False,False,BlockedPass,Successful,FirstHalf,Trent Alexander-Arnold,66,DR
2744759637,486,45,53,36,Leverkusen,107252,19.6,100.0,16.3,93.0,True,False,False,Pass,Successful,FirstHalf,Álex Grimaldo,20,DML
2744759649,487,45,54,36,Leverkusen,89401,16.3,93.0,18.0,98.5,True,False,False,Pass,Successful,FirstHalf,Granit Xhaka,34,MC
2744759663,488,45,55,36,Leverkusen,107252,18.0,98.2,9.9,95.4,True,False,False,Pass,Successful,FirstHalf,Álex Grimaldo,20,DML
2744759723,489,45,56,36,Leverkusen,404832,9.9,95.4,58.4,72.0,True,False,False,Pass,Unsuccessful,FirstHalf,Piero Hincapié,3,DC
2744759733,390,46,1,26,Liverpool,95408,35.3,32.8,,,False,False,False,BallRecovery,Successful,FirstHalf,Virgil van Dijk,4,DC
2744759785,391,46,1,26,Liverpool,95408,34.0,31.9,7.0,33.0,True,False,False,Pass,Successful,FirstHalf,Virgil van Dijk,4,DC
2744759861,392,46,6,26,Liverpool,322176,2.5,24.9,45.0,11.0,True,False,False,Pass,Successful,FirstHalf,Caoimhín Kelleher,62,GK
2744759933,393,46,13,26,Liverpool,355354,39.6,27.7,72.2,76.9,True,False,False,Pass,Successful,FirstHalf,Curtis Jones,17,MC
2744759937,394,46,19,26,Liverpool,352825,92.1,66.5,,,True,True,False,SavedShot,Successful,FirstHalf,Cody Gakpo,18,FWL
2744759949,491,46,19,36,Leverkusen,64846,2.4,44.0,,,True,False,False,Save,Successful,FirstHalf,Lukás Hrádecky,1,GK
2744759995,492,46,20,36,Leverkusen,369446,6.1,42.7,15.5,30.7,True,False,False,Clearance,Successful,FirstHalf,Edmond Tapsoba,12,DC
2744760025,395,46,25,26,Liverpool,301455,92.9,74.8,92.7,45.0,True,False,False,Pass,Unsuccessful,FirstHalf,Kostas Tsimikas,21,DL
2744760047,494,46,26,36,Leverkusen,404832,6.8,56.4,5.0,26.1,True,False,False,Clearance,Successful,FirstHalf,Piero Hincapié,3,DC
2744760077,495,46,28,36,Leverkusen,392644,5.0,26.1,13.8,22.5,True,False,False,Clearance,Successful,FirstHalf,Jeremie Frimpong,30,DMR
2744760083,396,46,29,26,Liverpool,352825,87.8,76.6,,,True,False,False,BallTouch,Unsuccessful,FirstHalf,Cody Gakpo,18,FWL
2744760117,496,46,33,36,Leverkusen,299684,15.0,9.1,,,False,False,False,BallRecovery,Successful,FirstHalf,Exequiel Palacios,25,MC
2744760129,497,46,34,36,Leverkusen,299684,18.8,4.8,,,True,False,False,Foul,Successful,FirstHalf,Exequiel Palacios,25,MC
2744760139,397,46,34,26,Liverpool,352825,81.2,95.2,,,False,False,False,Foul,Unsuccessful,FirstHalf,Cody Gakpo,18,FWL
2744760895,498,47,41,36,Leverkusen,369446,29.2,8.1,72.5,25.8,True,False,False,Pass,Unsuccessful,FirstHalf,Edmond Tapsoba,12,DC
2744766141,399,22,21,26,Liverpool,377168,72.2,33.7,,,True,False,False,BallTouch,Unsuccessful,FirstHalf,Luis Díaz,7,FW
2744766157,502,22,20,36,Leverkusen,369446,32.1,62.9,,,True,False,False,BallTouch,Successful,FirstHalf,Edmond Tapsoba,12,DC
2744767913,401,45,0,26,Liverpool,355354,49.8,50.0,27.2,51.8,True,False,False,Pass,Successful,SecondHalf,Curtis Jones,17,MC
2744767963,402,45,3,26,Liverpool,322176,29.8,52.5,64.9,92.3,True,False,False,Pass,Successful,SecondHalf,Caoimhín Kelleher,62,GK
2744767967,403,45,7,26,Liverpool,352825,66.4,92.4,75.9,76.6,True,False,False,Pass,Successful,SecondHalf,Cody Gakpo,18,FWL
2744767987,404,45,8,26,Liverpool,377168,75.0,73.9,69.9,71.2,True,False,False,Pass,Successful,SecondHalf,Luis Díaz,7,FW
2744767991,405,45,10,26,Liverpool,345319,68.4,70.0,66.4,67.2,True,False,False,Pass,Successful,SecondHalf,Alexis Mac Allister,10,MC
2744767993,506,45,12,36,Leverkusen,299684,35.0,21.0,,,False,False,False,Challenge,Unsuccessful,SecondHalf,Exequiel Palacios,25,MC
2744768043,406,45,16,26,Liverpool,355354,65.0,81.2,69.5,68.5,True,False,False,Pass,Successful,SecondHalf,Curtis Jones,17,MC
2744768051,407,45,18,26,Liverpool,345319,74.7,73.6,84.4,75.0,True,False,False,Pass,Successful,SecondHalf,Alexis Mac Allister,10,MC
2744768089,408,45,20,26,Liverpool,355354,87.1,77.3,87.2,95.1,True,False,False,Pass,Successful,SecondHalf,Curtis Jones,17,MC
